yearmon,estacion,min,max,prec,ecoreg,ecoregion,geometry
2011-05,INTA - RECONQUISTA (EMC),22.2129032258065,12.0903225806452,129.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-05,RECONQUISTA,12.7612903225806,22.4774193548387,118,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-06,INTA - RECONQUISTA (EMC),18.9366666666667,8.93,30.5,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-06,RECONQUISTA,9.63333333333333,19.0666666666667,24.2,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-07,INTA - RECONQUISTA (EMC),19.0806451612903,7.30967741935484,41.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-07,RECONQUISTA,8.03870967741936,19.3451612903226,30.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-08,INTA - RECONQUISTA (EMC),20.5,7.82258064516129,12.8,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-08,RECONQUISTA,8.25806451612903,20.9,12,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-09,INTA - RECONQUISTA (EMC),25.3133333333333,11.5466666666667,42.8,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-09,RECONQUISTA,12.2066666666667,25.7133333333333,25.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-10,INTA - RECONQUISTA (EMC),24.9677419354839,14.441935483871,175.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-10,RECONQUISTA,14.7129032258065,25.3,144.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-11,INTA - RECONQUISTA (EMC),29.6666666666667,17.1433333333333,142.1,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-11,RECONQUISTA,17.9633333333333,29.82,136.4,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2011-12,INTA - RECONQUISTA (EMC),31.3806451612903,17.8483870967742,20.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2011-12,RECONQUISTA,17.9548387096774,31.358064516129,18,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-01,INTA - RECONQUISTA (EMC),34.4161290322581,19.6193548387097,61.9,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-01,RECONQUISTA,19.7225806451613,34.7258064516129,33.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-02,INTA - RECONQUISTA (EMC),34.3965517241379,22.0310344827586,147.4,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-02,RECONQUISTA,22.1413793103448,34.6793103448276,190.5,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-03,INTA - RECONQUISTA (EMC),29.9193548387097,17.4935483870968,97.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-03,RECONQUISTA,18.1161290322581,30.4548387096774,86,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-04,INTA - RECONQUISTA (EMC),25.4733333333333,14.5766666666667,260.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-04,RECONQUISTA,15.2166666666667,25.7333333333333,187.6,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-05,INTA - RECONQUISTA (EMC),24.2806451612903,12.9516129032258,61.2,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-05,RECONQUISTA,13.4322580645161,24.4032258064516,56.1,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-06,INTA - RECONQUISTA (EMC),20.2233333333333,9.47,15.3,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
2012-06,RECONQUISTA,9.94666666666667,20.4566666666667,6.6,Humid Chaco,Chaco Húmedo,"c(820944.692292264, -3232807.55508049)"
2012-07,INTA - RECONQUISTA (EMC),18.6161290322581,5.16451612903226,5.6,Humid Chaco,Chaco Húmedo,"c(820955.08433336, -3232437.91665328)"
