anio	mes	estacion	ecoregion	nom_depto	grupo_edad	casos_lepto	poblacion
2010	4	Otoño	Chaco Húmedo	VERA	10-14	3	5671
2010	4	Otoño	Chaco Húmedo	VERA	25-44	1	13199
2010	4	Otoño	Chaco Húmedo	VERA	45-64	1	9518
2010	4	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2010	4	Otoño	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2010	4	Otoño	Delta e Islas del Paraná	ROSARIO	10-14	1	85729
2010	4	Otoño	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2010	4	Otoño	Delta e Islas del Paraná	ROSARIO	45-64	2	242319
2010	4	Otoño	Pampa	GENERAL LOPEZ	25-44	1	50512
2010	4	Otoño	Pampa	GENERAL LOPEZ	45-64	1	40930
2010	4	Otoño	Pampa	IRIONDO	25-44	1	17812
2010	5	Otoño	Chaco Húmedo	VERA	25-44	1	13199
2010	5	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	0-9	1	32676
2010	5	Otoño	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2010	6	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	10-14	2	18224
2010	6	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2010	8	Invierno	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2010	8	Invierno	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2010	10	Primavera	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2010	11	Primavera	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2011	1	Verano	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2011	1	Verano	Delta e Islas del Paraná	LA CAPITAL	25-44	2	148926
2011	1	Verano	Espinal	LAS COLONIAS	25-44	1	29165
2011	2	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2011	2	Verano	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2011	2	Verano	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2011	3	Verano	Chaco Húmedo	VERA	15-24	1	9127
2011	3	Verano	Chaco Húmedo	VERA	25-44	1	13199
2011	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	3	31969
2011	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2011	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	45-64	1	32846
2011	3	Verano	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2011	3	Verano	Delta e Islas del Paraná	SAN JAVIER	10-14	1	3520
2011	3	Verano	Delta e Islas del Paraná	SAN JAVIER	25-44	2	7684
2011	3	Verano	Delta e Islas del Paraná	SAN JAVIER	45-64	2	5720
2011	3	Verano	Espinal	SAN JERONIMO	25-44	2	21891
2011	4	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2011	4	Otoño	Delta e Islas del Paraná	GENERAL OBLIGADO	45-64	1	32846
2011	4	Otoño	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2011	4	Otoño	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2011	4	Otoño	Delta e Islas del Paraná	SAN JAVIER	15-24	1	5863
2011	4	Otoño	Delta e Islas del Paraná	SAN JAVIER	25-44	1	7684
2011	4	Otoño	Delta e Islas del Paraná	SAN JAVIER	45-64	2	5720
2011	4	Otoño	Espinal	SAN JERONIMO	15-24	1	13301
2011	4	Otoño	Espinal	SAN JERONIMO	25-44	1	21891
2011	4	Otoño	Pampa	SAN LORENZO	45-64	1	31147
2011	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	25-44	3	148926
2011	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	65+	1	54644
2011	5	Otoño	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2011	5	Otoño	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2011	5	Otoño	Delta e Islas del Paraná	SAN JAVIER	45-64	1	5720
2011	6	Otoño	Delta e Islas del Paraná	GARAY	65+	1	1798
2011	6	Otoño	Espinal	SAN JUSTO	45-64	1	8112
2011	6	Otoño	Pampa	IRIONDO	45-64	1	14535
2011	7	Invierno	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2011	8	Invierno	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2011	10	Primavera	Pampa	SAN LORENZO	45-64	1	31147
2011	11	Primavera	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2011	11	Primavera	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2011	12	Primavera	Chaco Húmedo	VERA	25-44	1	13199
2011	12	Primavera	Delta e Islas del Paraná	ROSARIO	45-64	2	242319
2011	12	Primavera	Pampa	IRIONDO	25-44	1	17812
2012	1	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2012	1	Verano	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2012	2	Verano	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2012	2	Verano	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2012	2	Verano	Pampa	SAN LORENZO	25-44	1	44755
2012	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	25-44	1	46462
2012	3	Verano	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2012	3	Verano	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2012	3	Verano	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2012	3	Verano	Delta e Islas del Paraná	SAN JAVIER	25-44	1	7684
2012	4	Otoño	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2012	4	Otoño	Pampa	SAN LORENZO	15-24	1	26598
2012	5	Otoño	Delta e Islas del Paraná	ROSARIO	15-24	2	203472
2012	5	Otoño	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2012	5	Otoño	Espinal	SAN JERONIMO	45-64	2	16139
2012	6	Otoño	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2012	6	Otoño	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2012	6	Otoño	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2012	7	Invierno	Delta e Islas del Paraná	LA CAPITAL	25-44	2	148926
2012	8	Invierno	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2012	9	Invierno	Delta e Islas del Paraná	ROSARIO	0-9	1	167758
2012	9	Invierno	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2012	9	Invierno	Espinal	CASTELLANOS	15-24	1	29455
2012	10	Primavera	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2012	10	Primavera	Espinal	SAN JERONIMO	25-44	1	21891
2012	11	Primavera	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2012	11	Primavera	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2012	11	Primavera	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2012	11	Primavera	Pampa	SAN LORENZO	45-64	1	31147
2012	12	Primavera	Delta e Islas del Paraná	CASEROS	25-44	1	21973
2012	12	Primavera	Delta e Islas del Paraná	LA CAPITAL	10-14	1	44028
2012	12	Primavera	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2012	12	Primavera	Delta e Islas del Paraná	ROSARIO	0-9	1	167758
2012	12	Primavera	Delta e Islas del Paraná	ROSARIO	15-24	3	203472
2012	12	Primavera	Delta e Islas del Paraná	ROSARIO	25-44	2	347729
2012	12	Primavera	Delta e Islas del Paraná	ROSARIO	65+	1	146598
2012	12	Primavera	Pampa	SAN MARTIN	45-64	1	13672
2013	1	Verano	Delta e Islas del Paraná	CONSTITUCION	25-44	1	23525
2013	1	Verano	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2013	1	Verano	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2013	1	Verano	Espinal	SAN JERONIMO	10-14	2	6787
2013	1	Verano	Espinal	SAN JERONIMO	15-24	3	13301
2013	1	Verano	Espinal	SAN JERONIMO	25-44	1	21891
2013	1	Verano	Pampa	SAN MARTIN	25-44	1	16764
2013	2	Verano	Chaco Húmedo	VERA	15-24	1	9127
2013	2	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	10-14	1	18224
2013	2	Verano	Delta e Islas del Paraná	LA CAPITAL	10-14	1	44028
2013	2	Verano	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2013	2	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2013	2	Verano	Espinal	SAN JERONIMO	0-9	1	12395
2013	2	Verano	Espinal	SAN JERONIMO	10-14	1	6787
2013	2	Verano	Espinal	SAN JERONIMO	25-44	1	21891
2013	3	Verano	Chaco Húmedo	VERA	25-44	1	13199
2013	3	Verano	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2013	3	Verano	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2013	3	Verano	Espinal	LAS COLONIAS	45-64	1	20761
2013	3	Verano	Pampa	SAN LORENZO	15-24	1	26598
2013	4	Otoño	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2013	4	Otoño	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2013	4	Otoño	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2013	4	Otoño	Pampa	SAN LORENZO	65+	1	17205
2013	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	0-9	1	84674
2013	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	10-14	1	44028
2013	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	15-24	2	91288
2013	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	25-44	2	148926
2013	5	Otoño	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2013	5	Otoño	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2013	5	Otoño	Espinal	LAS COLONIAS	25-44	1	29165
2013	5	Otoño	Espinal	SAN JERONIMO	15-24	1	13301
2013	7	Invierno	Delta e Islas del Paraná	GENERAL OBLIGADO	45-64	1	32846
2013	7	Invierno	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2013	7	Invierno	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2013	7	Invierno	Delta e Islas del Paraná	ROSARIO	45-64	1	242319
2013	7	Invierno	Espinal	SAN JERONIMO	15-24	1	13301
2013	8	Invierno	Delta e Islas del Paraná	GARAY	15-24	1	4057
2013	8	Invierno	Delta e Islas del Paraná	GARAY	45-64	1	3628
2013	9	Invierno	Chaco Seco	9 DE JULIO	45-64	1	5270
2013	9	Invierno	Delta e Islas del Paraná	LA CAPITAL	45-64	2	101533
2013	9	Invierno	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2013	9	Invierno	Pampa	IRIONDO	25-44	1	17812
2013	10	Primavera	Delta e Islas del Paraná	GARAY	45-64	1	3628
2013	11	Primavera	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2013	11	Primavera	Delta e Islas del Paraná	ROSARIO	25-44	1	347729
2013	12	Primavera	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2013	12	Primavera	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2014	1	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	45-64	1	32846
2014	1	Verano	Delta e Islas del Paraná	LA CAPITAL	10-14	1	44028
2014	1	Verano	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2014	1	Verano	Delta e Islas del Paraná	LA CAPITAL	25-44	4	148926
2014	1	Verano	Delta e Islas del Paraná	ROSARIO	0-9	1	167758
2014	1	Verano	Delta e Islas del Paraná	SAN JAVIER	25-44	1	7684
2014	1	Verano	Espinal	LAS COLONIAS	25-44	1	29165
2014	2	Verano	Delta e Islas del Paraná	LA CAPITAL	25-44	1	148926
2014	2	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2014	2	Verano	Delta e Islas del Paraná	ROSARIO	15-24	1	203472
2014	2	Verano	Pampa	GENERAL LOPEZ	0-9	1	28259
2014	3	Verano	Delta e Islas del Paraná	GARAY	25-44	1	5360
2014	3	Verano	Delta e Islas del Paraná	GENERAL OBLIGADO	15-24	1	31969
2014	3	Verano	Delta e Islas del Paraná	LA CAPITAL	15-24	1	91288
2014	3	Verano	Delta e Islas del Paraná	LA CAPITAL	45-64	1	101533
2014	3	Verano	Espinal	LAS COLONIAS	65+	1	13170
2014	3	Verano	Espinal	SAN JUSTO	0-9	1	6654
2014	3	Verano	Espinal	SAN JUSTO	15-24	1	6682
2014	3	Verano	Pampa	IRIONDO	45-64	1	14535
2014	3	Verano	Pampa	IRIONDO	65+	1	9861
2014	3	Verano	Pampa	SAN LORENZO	45-64	1	31147
2014	4	Otoño	Chaco Húmedo	VERA	15-24	1	9127
